id,url,URL-similar(official store),URL-single
86,https://shopee.sg/Pokka-Premium-Milk-Tea-(24-x-500ml)-Carton-i.91799978.4672241704,--,
82,--,--,
87,https://shopee.sg/Pokka-Premium-Milk-Coffee-500Ml-Carton-i.91799978.5279500570,--,
90,--,--,
91,--,--,
88,https://shopee.sg/Pokka-Premium-Mocha-Coffee-(24-x-500ml)-Carton-i.91799978.3004271157,--,
1,--,--,
63,--,--,
64,--,--,
99,https://shopee.sg/Pokka-Ice-Blueberry-Tea-(12-x-1.5L)-Case-i.91799978.9635398316,--,
101,https://shopee.sg/Pokka-Natsbee-Honey-Lemon-(Less-Sweet)-(12-x-1.5L)-Case-i.91799978.9035391139,--,
103,https://shopee.sg/Pokka-Natsbee-Honey-Yuzu-(12-x-1.5L)-Case-i.91799978.8135392352,--,
48,--,--,
49,--,--,
50,--,--,
104,https://shopee.sg/H-TWO-O-Non-Carbonated-Isotonic-Drink-300ml-Case-(Case-of-24)-(Halal)-i.91799978.11422560670,--,
109,https://shopee.sg/Yeo's-Coconut-Juice-490ml-Case-%E2%80%93-24s-(Halal)-i.91799978.10422963561,--,
115,https://shopee.sg/Justea-Green-Tea-with-White-Grape-300ml-24's-(Halal)-i.91799978.8704862332,--,
133,--,--,
132,--,--,
152,--,--,
153,--,--,
154,--,--,
155,--,--,
116,https://shopee.sg/Yeo's-Chrysanthemum-Tea-300Ml-24's-(Halal)-i.91799978.9004862255,--,
127,https://shopee.sg/Ice-Cool-Young-Coconut-Juice-With-Pulp-310Ml-X-24-(Halal)-i.91799978.4146216525,--,
130,https://shopee.sg/JJ-Jia-Jia-Herbal-Tea-Original-(24-X-300ml)-Case-i.91799978.19344115373,--,
131,https://shopee.sg/JJ-Bandung-Rose-Milk-Drink-(24-X-300ml)-Case-i.91799978.11964735435,--,
141,https://shopee.sg/Three-Legs-Cooling-Water-6-x-200ML-Singapore--i.91799978.7131875395,--,
107,--,--,
145,https://shopee.sg/Dasani-Drinking-Water-(24-x-600ml)-Case-(Halal)-i.91799978.2727236097?sp_atk=b3f42507-1fcd-44f2-ab34-c8694467a920&xptdk=b3f42507-1fcd-44f2-ab34-c8694467a920,--,
117,--,--,
118,--,--,
108,--,--,
146,https://shopee.sg/Dasani-Drinking-Water-(12-x-1.5L)-Case-(Halal)-i.91799978.7827946585,--,
111,--,--,
119,--,--,
120,--,--,
121,--,--,
110,--,--,
122,--,--,
123,--,--,
124,--,--,
